quelle,url,titel,address,plz,bezirk,preis,wohnfläche,zimmer,balkon,terrasse,garten,einbauküche,fahrstuhl,keller,garage,carport,parkplatz,barrierefrei,haustiere_erlaubt,teilmöbliert_/_möbliert,stockwerk,verfügbar,bautyp,zustand,baujahr,preis_raw,wohnfläche_raw,zimmer_raw,böden,befristung,heizung,abstellraum,objekttyp,grundfläche,objektbeschreibung,lage,ausstattung,preis_und_detailinformation,zusatzinformationen,sonstiges,energieausweis_heizung,details,beschreibung,merkmale,highlight_raw
immowelt,https://www.immowelt.at/expose/2nybt53,"Klassische 4,5 Zimmer Altbauwohnung im Botschaftsviertel",Straße nicht freigegeben 1030 Wien (Landstraße),1030,3,,156.0,4.5,False,False,,True,True,False,False,,False,,False,False,2. Geschoss,sofort,,gepflegt,,"€ 2.013,86",156 m²,"4,5","Fliesenboden, Parkett",<NA>,<NA>,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,"Bad mit Fenster, Wanne und Dusche, Gäste-WC, Bidet Einbauküche Böden: Fliesenboden, Parkett Zustand: gepflegt Zustand: Altbau (bis 1945) Personenaufzug",<NA>,<NA>,<NA>
immowelt,https://www.immowelt.at/expose/2ms9p5w,Neu sanierte 4 Zimmerwohnung,Ziehrerplatz 7 1030 Wien (Landstraße),1030,3,,155.18,4.0,True,False,,False,True,False,False,,False,,False,False,3. Geschoss,,,renoviert / saniert,,"€ 2.833,42","155,18 m²",4,"Fliesenboden, Parkett",<NA>,<NA>,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,"Bad mit Fenster und Dusche, Gäste-WC Balkon Böden: Fliesenboden, Parkett Zustand: renoviert / saniert Anschlüsse: Kabelanschluss Zustand: Altbau (bis 1945) Personenaufzug",<NA>,<NA>,<NA>
immowelt,https://www.immowelt.at/expose/2mw8b5z,1010 Wien - großzügige ca. 154 m² Innenstadtwohnung Nähe Stephansplatz,Straße nicht freigegeben 1010 Wien (Innere Stadt),1010,1,,154.0,3.0,False,False,,True,False,False,False,,False,,False,False,3. Geschoss,sofort,,Altbau (bis 1945),,€ 3.200,154 m²,3,"Fliesenboden, Parkett, Steinboden",<NA>,<NA>,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,"Einbauküche Böden: Fliesenboden, Parkett, Steinboden Ausstattung: neuwertig Zustand: Altbau (bis 1945)",<NA>,<NA>,<NA>
immowelt,https://www.immowelt.at/expose/2m6dj5z,Wohnen & Arbeiten im Ersten: Luxus-Maisonette am Rudolfsplatz (2 Eingänge),Gonzagagasse 9 1010 Wien (Innere Stadt),1010,1,,154.0,4.0,True,False,,True,True,True,False,,False,,True,False,Dachgeschoss,sofort,,,,,154 m²,4,"Fliesenboden, Parkett",<NA>,<NA>,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,"Bad mit Wanne und Dusche, Gäste-WC Balkon Einbauküche barrierefrei, WG-geeignet Böden: Fliesenboden, Parkett Ausstattung: neuwertig voll klimatisiert Weitere Räume: Kelleranteil Haustiere erlaubt Personenaufzug",<NA>,<NA>,<NA>
immowelt,https://www.immowelt.at/expose/2ns4j53,Zentral begehbare DG-Maisonette-Wohnung mit Freifläche auf Wohnebene und Dachterrasse,Straße nicht freigegeben 1020 Wien (Leopoldstadt),1020,2,,148.34,4.0,True,True,,True,True,False,False,,False,,False,False,,ab sofort,,gepflegt,2008,"€ 2.693,03","148,34 m²",4,"Fliesenboden, Parkett",<NA>,<NA>,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,"Bad mit Fenster, Wanne und Dusche Loggia, Terrasse Einbauküche, offene Küche Böden: Fliesenboden, Parkett Zustand: gepflegt voll klimatisiert Weitere Räume: Abstellraum Baujahr: 2008 Personenaufzug",<NA>,<NA>,<NA>
immowelt,https://www.immowelt.at/expose/2npvd52,Wohnen im Herzen Wiens: Charmante Altbauwohnung Nähe Graben / Kohlmarkt / Goldenes Quartier / Stephansplatz,Straße nicht freigegeben 1010 Wien (Innere Stadt),1010,1,,146.6,4.0,True,False,,False,True,False,False,,False,,False,False,3. Geschoss,ab sofort,,gepflegt,1912,"€ 3.752,17","146,60 m²",4,"Fliesenboden, Parkett",<NA>,<NA>,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,"Bad mit Fenster, Wanne und Dusche, Gäste-WC Balkon offene Küche Böden: Fliesenboden, Parkett Zustand: gepflegt Weitere Räume: Abstellraum Baujahr: 1912 Zustand: Altbau (bis 1945) Personenaufzug",<NA>,<NA>,<NA>
immowelt,https://www.immowelt.at/expose/2m2fj5t,GEDIEGENE 3 -ZIMMER-MANSARDENWOHNUNG IM STADTPALAIS,Straße nicht freigegeben 1010 Wien / Innere Stadt,1010,1,,145.0,3.0,False,True,,True,True,False,False,,False,,False,False,Dachgeschoss,März - April 2026,,gepflegt,,"€ 3.713,21",145 m²,3,Parkett,<NA>,<NA>,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,"Bad mit Wanne, Gäste-WC Terrasse Einbauküche Böden: Parkett Zustand: gepflegt voll klimatisiert Anschlüsse: Kabelanschluss Personenaufzug",<NA>,<NA>,<NA>
immowelt,https://www.immowelt.at/expose/2nlyc52,INNENSTADT DACHGESCHOSS mit TERRASSE - AB 01.04.2026,Straße nicht freigegeben 1010 Wien (Innere Stadt),1010,1,,144.79,3.0,False,True,,True,True,False,False,,False,,False,False,Dachgeschoss,01.04.2026,,gepflegt,,"€ 3.713,21","144,79 m²",3,"Fliesenboden, Parkett",<NA>,<NA>,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,"Bad mit Fenster, Wanne und Dusche Terrasse Einbauküche Böden: Fliesenboden, Parkett Zustand: gepflegt voll klimatisiert Anschlüsse: Kabelanschluss Zustand: Altbau (bis 1945) Personenaufzug",<NA>,<NA>,<NA>
immowelt,https://www.immowelt.at/expose/2n79m53,"Erstbezug nach Generalsanierung, Altbautraum 142m² im Cottageviertel","Gymnasiumstraße 1180 Wien,Währing",1180,18,,142.0,5.5,False,False,,False,False,False,False,,False,,False,False,,Sofort,,Erstbezug,1905,"€ 1.953,93",142 m²,"5,5","Fliesenboden, Parkett",<NA>,<NA>,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,"Bad mit Wanne und Dusche offene Küche Böden: Fliesenboden, Parkett Zustand: Erstbezug Weitere Räume: Abstellraum Anschlüsse: Kabelanschluss Baujahr: 1905 Zustand: Altbau (bis 1945)",<NA>,<NA>,<NA>
immowelt,https://www.immowelt.at/expose/2ndgq53,STILALTBAU BEIM STADTPARK - 4 ZIMMER,Straße nicht freigegeben 1030 Wien (Landstraße),1030,3,,139.71,4.0,False,False,,True,False,False,False,,False,,False,False,2. Geschoss,ab sofort,,gepflegt,,"€ 2.469,51","139,71 m²",4,"Fliesenboden, Parkett",<NA>,<NA>,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,"Bad mit Wanne Einbauküche Böden: Fliesenboden, Parkett Zustand: gepflegt Zustand: Altbau (bis 1945)",<NA>,<NA>,<NA>
immowelt,https://www.immowelt.at/expose/2mpxr5z,Am Stadtpark - Nähe U3/U4 Station - Stilaltbauwohnung - separate Küche - beim Wiener Konzerthaus und Wien Mitte,Straße nicht freigegeben 1030 Wien (Landstraße),1030,3,,139.71,4.0,False,False,,True,False,False,False,,False,,False,False,2. Geschoss,sofort,,gepflegt,1836,"€ 2.469,51","139,71 m²",4,"Fliesenboden, Parkett",<NA>,<NA>,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,"Bad mit Wanne Einbauküche WG-geeignet Böden: Fliesenboden, Parkett Zustand: gepflegt Anschlüsse: Kabelanschluss Baujahr: 1836 Zustand: Altbau (bis 1945)",<NA>,<NA>,<NA>
immowelt,https://www.immowelt.at/expose/2nmrm53,3-Zimmer Wohnung mit Loggia in 1060 Wien,Straße nicht freigegeben 1060 Wien (Mariahilf),1060,6,,137.35,3.0,True,False,,True,True,False,False,,False,,False,False,3. Geschoss,ab sofort,,,1898,€ 2.495,"137,35 m²",3,Parkett,<NA>,<NA>,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,Bad mit Wanne Loggia Einbauküche Böden: Parkett Baujahr: 1898 Personenaufzug,<NA>,<NA>,<NA>
immowelt,https://www.immowelt.at/expose/2mcb25t,"Luxuriöse Maisonette in 1210 Wien: Erstbezug mit Garten, Balkon und Kamin!",Straße nicht freigegeben 1210 Wien (Floridsdorf),1210,21,,137.35,6.0,True,True,,False,False,False,False,,True,,False,False,,01.03.2026,Neubau,Erstbezug,2025,"€ 3.400,32","137,35 m²",6,,<NA>,<NA>,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,"Bad mit Fenster und Dusche Balkon, Garten, Terrasse offene Küche Zustand: Erstbezug Baujahr: 2025 Zustand: Neubau 1 Stellplatz",<NA>,<NA>,<NA>
immowelt,https://www.immowelt.at/expose/2ntud52,DG-Wohnung mit Traumausstattung und 50m² Dachterrasse - Nähe Karmelitermarkt und 1. Bezirk!!,Straße nicht freigegeben 1020 Wien (Leopoldstadt),1020,2,,136.0,4.0,True,True,,False,True,True,False,,False,,False,False,4. Geschoss (Dachgeschoss),01.03.2026,Neubau,gepflegt,2016,€ 3.495,136 m²,4,,<NA>,<NA>,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,"Balkon, Terrasse Zustand: gepflegt voll klimatisiert Weitere Räume: Kelleranteil Baujahr: 2016 Zustand: Neubau Personenaufzug",<NA>,<NA>,<NA>
immowelt,https://www.immowelt.at/expose/2nxdq53,Wunderschöne Altbauwohnung in 1090 zu mieten!,Straße nicht freigegeben 1090 Wien (Alsergrund),1090,9,,134.24,5.0,False,False,,True,True,False,False,,False,,True,True,1. Geschoss,sofort,,gepflegt,1900,€ 2.399,"134,24 m²",5,"Fliesenboden, Parkett",<NA>,<NA>,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,"Bad mit Wanne und Dusche Einbauküche, offene Küche Böden: Fliesenboden, Parkett Ausstattung: teilweise möbliert Zustand: gepflegt Haustiere erlaubt Baujahr: 1900 Personenaufzug",<NA>,<NA>,<NA>
immowelt,https://www.immowelt.at/expose/2m28m5z,SCHÖNE ALTBAUWOHNUNG IN INNENSTADTLAGE,Straße nicht freigegeben 1010 Wien (Innere Stadt),1010,1,,134.24,4.0,True,False,,False,True,False,False,,False,,False,False,,sofort,,Altbau (bis 1945),1904,€ 2.995,"134,24 m²",4,,<NA>,<NA>,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,Balkon Ausstattung: neuwertig voll klimatisiert Anschlüsse: Kabelanschluss Baujahr: 1904 Zustand: Altbau (bis 1945) Personenaufzug,<NA>,<NA>,<NA>
immowelt,https://www.immowelt.at/expose/2mdz95v,"Exklusive Mietwohnungen in der Wigandgasse 37 - Historisches Flair im ""Freihof""",Wigandgasse 37 1190 Wien (Döbling),1190,19,,133.81,3.0,False,True,,True,False,False,False,,False,,False,True,1. Geschoss,,,renoviert / saniert,1455,"€ 4.328,87","133,81 m²",3,Parkett,<NA>,<NA>,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,"Bad mit Dusche Terrasse Einbauküche, offene Küche WG-geeignet Böden: Parkett Ausstattung: teilweise möbliert Zustand: renoviert / saniert Baujahr: 1455",<NA>,<NA>,<NA>
immowelt,https://www.immowelt.at/expose/2mgl35r,PALAIS COLLALTO - Wohnen in exklusiver Lage Am Hof - zu mieten in 1010 Wien,Straße nicht freigegeben 1010 Wien (Innere Stadt),1010,1,,133.29,3.0,False,False,,True,True,False,False,,False,,False,False,3. Geschoss,sofort,,,1803,€ 3.295,"133,29 m²",3,"Fliesenboden, Parkett",<NA>,<NA>,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,"Bad mit Wanne und Dusche, Bidet Einbauküche, offene Küche Böden: Fliesenboden, Parkett voll klimatisiert Baujahr: 1803 Personenaufzug",<NA>,<NA>,<NA>
immowelt,https://www.immowelt.at/expose/2mah75v,Zweitbezug: 4-Zimmer-Altbauwohnung in Citynähe - Dachgeschoss m. Klimaanlage - ab 1.3. 2026 !,Obere Donaustraße 1020 Wien (Leopoldstadt),1020,2,,131.6,4.0,False,False,,True,True,False,False,,False,,False,False,4. Geschoss (Dachgeschoss),01.03.2026,,renoviert / saniert,1889,"€ 2.994,94","131,60 m²",4,"Fliesenboden, Parkett",<NA>,<NA>,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,"Bad mit Fenster, Wanne und Dusche, Gäste-WC Einbauküche WG-geeignet Böden: Fliesenboden, Parkett Zustand: renoviert / saniert voll klimatisiert Weitere Räume: Abstellraum Anschlüsse: Kabelanschluss Baujahr: 1889 Zustand: Altbau (bis 1945) Personenaufzug",<NA>,<NA>,<NA>
immowelt,https://www.immowelt.at/expose/2matn5t,Helle Altbauwohnung mit Balkon und Wohnküche in bester Lage,Straße nicht freigegeben 1170 Wien (Hernals),1170,17,,130.86,4.0,True,False,,False,True,False,False,,False,,False,False,,,,Altbau (bis 1945),1898,€ 2.300,"130,86 m²",4,,<NA>,<NA>,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,Balkon Ausstattung: neuwertig Weitere Räume: Abstellraum Baujahr: 1898 Zustand: Altbau (bis 1945) Personenaufzug,<NA>,<NA>,<NA>
immowelt,https://www.immowelt.at/expose/2nna753,TERRASSENMIETE MIT GARTENANTEIL / MODERN APARTMENT WITH TERRACE AND SMALL GARDEN,Straße nicht freigegeben 1190 Wien (Döbling),1190,19,,130.0,4.0,False,True,,False,True,False,False,,False,,False,False,,15.03.2026,,gepflegt,1997,"€ 2.579,50",130 m²,4,"Fliesenboden, Parkett",<NA>,<NA>,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,"Terrasse Böden: Fliesenboden, Parkett Zustand: gepflegt Anschlüsse: Kabelanschluss Baujahr: 1997 Personenaufzug",<NA>,<NA>,<NA>
immowelt,https://www.immowelt.at/expose/2mgye5z,Exklusiver 3-Zi.-Erstbezug mit Sauna & Skylineblick,Straße nicht freigegeben 1220 Wien (Donaustadt),1220,22,,126.42,3.0,True,False,,True,True,False,False,,False,,False,False,42. Geschoss,01.04.2026,Neubau,Erstbezug,2026,€ 3.770,"126,42 m²",3,"Fliesenboden, Parkett",<NA>,<NA>,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,"Bad mit Wanne und Dusche, Gäste-WC Balkon, Loggia Einbauküche, offene Küche Böden: Fliesenboden, Parkett Zustand: Erstbezug Weitere Räume: Abstellraum Baujahr: 2026 Zustand: Neubau Personenaufzug Wellness: Swimming-Pool",<NA>,<NA>,<NA>
immowelt,https://www.immowelt.at/expose/2mckr5r,Top Lage mit Traumaussicht I 2 Loggien I Stellplatz I Pool und Sauna I zwischen Währinger Straße und Liechtensteinstraße I Nähe U4 und U6,Straße nicht freigegeben 1090 Wien (Alsergrund),1090,9,,126.0,5.0,True,False,,False,True,False,True,,True,,False,False,6. Geschoss,sofort,Neubau,renoviert / saniert,,€ 2.298,126 m²,5,"Fliesenboden, Steinboden",<NA>,<NA>,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,"Bad mit Wanne und Dusche Loggia offene Küche barrierefrei Böden: Fliesenboden, Steinboden Zustand: renoviert / saniert Weitere Räume: Wasch-Trockenraum Anschlüsse: Kabelanschluss Zustand: Neubau Personenaufzug 1 Stellplatz: Garage Wellness: Swimming-Pool, Sauna",<NA>,<NA>,<NA>
immowelt,https://www.immowelt.at/expose/2ndtj54,1010! Klassische 4-Zimmer Altbauwohnung mit 2 Bädern in toller Lage!,Straße nicht freigegeben 1010 Wien (Innere Stadt),1010,1,,123.05,4.0,False,False,,False,True,False,False,,False,,False,False,3. Geschoss,Ab sofort,,Altbau (bis 1945),1887,"€ 3.017,62","123,05 m²",4,"Fliesenboden, Parkett",<NA>,<NA>,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,"Bad mit Wanne und Dusche, Gäste-WC offene Küche Böden: Fliesenboden, Parkett Weitere Räume: Abstellraum Baujahr: 1887 Zustand: Altbau (bis 1945) Personenaufzug",<NA>,<NA>,<NA>
immowelt,https://www.immowelt.at/expose/2mjlh5x,"UNBEFRISTET - Lichtdurchflutete 3,5 Zimmer Maisonette-Wohnung mit Galerie und 49 m2 Dachterrasse - Hoflage",Wiedner Hauptstraße 1040 Wien (Wieden),1040,4,,119.71,3.5,False,True,,False,False,False,False,,False,,False,False,4. Geschoss (Dachgeschoss),01.02.2026,,Altbau (bis 1945),1891,"€ 2.367,63","119,71 m²","3,5","Fliesenboden, Parkett",<NA>,<NA>,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,"Bad mit Fenster, Wanne und Dusche Terrasse offene Küche Böden: Fliesenboden, Parkett voll klimatisiert Baujahr: 1891 Zustand: Altbau (bis 1945)",<NA>,<NA>,<NA>
immowelt,https://www.immowelt.at/expose/2mc6h5w,"Neuwaldegger Straße - 4 Zimmer Neubau mit 39,70m2 großer Terrasse",Straße nicht freigegeben 1170 Wien (Hernals),1170,17,,119.04,4.0,False,True,,True,False,False,False,,False,,False,False,1. Geschoss,nach Mietvertrag,Neubau,Erstbezug,,€ 1.890,"119,04 m²",4,"Fliesenboden, Parkett",<NA>,<NA>,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,"Bad mit Wanne Terrasse Einbauküche Böden: Fliesenboden, Parkett Zustand: Erstbezug Weitere Räume: Abstellraum Zustand: Neubau Wellness: Swimming-Pool",<NA>,<NA>,<NA>
immowelt,https://www.immowelt.at/expose/2ms4k5y,Wohnung mit großzügiger Freifläche,Straße nicht freigegeben 1190 Wien (Döbling),1190,19,,118.0,3.0,True,False,,False,True,False,True,,True,,False,False,3. Geschoss,ab sofort,Neubau,gepflegt,,€ 1.990,118 m²,3,,<NA>,<NA>,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,Bad mit Wanne Balkon offene Küche WG-geeignet Zustand: gepflegt Zustand: Neubau Personenaufzug 1 Stellplatz: Garage,<NA>,<NA>,<NA>
immowelt,https://www.immowelt.at/expose/2mwek5v,Exklusive Penthouse-Wohnung & New-York-Style im Untergeschoss,"Straße nicht freigegeben 1050 Wien,Margareten",1050,5,,118.0,3.0,False,False,,True,True,False,False,,False,,False,True,5. Geschoss,SOFORT,Neubau,,2006,"€ 2.977,14",118 m²,3,Parkett,<NA>,<NA>,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,"Bad mit Wanne und Dusche, Gäste-WC Garten Einbauküche Böden: Parkett Ausstattung: teilweise möbliert, neuwertig Weitere Räume: Abstellraum, Wasch-Trockenraum Baujahr: 2006 Zustand: Neubau Personenaufzug",<NA>,<NA>,<NA>
immowelt,https://www.immowelt.at/expose/2mzap5z,Luxuriöse Dachterrassenwohnung in sanierten Altbau | Direkt an der U3 | klimatisiert,Straße nicht freigegeben 1030 Wien (Landstraße),1030,3,,117.0,3.0,False,True,,False,True,True,False,,False,,False,False,,01.03.2026,,Altbau (bis 1945),2020,€ 2.249,117 m²,3,,<NA>,<NA>,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,Terrasse Weitere Räume: Kelleranteil Baujahr: 2020 Zustand: Altbau (bis 1945) Personenaufzug,<NA>,<NA>,<NA>
